date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2025-01-18,15:30,Bundesliga,2024-2025,Bayern Munich,Wolfsburg,Home,Matchweek 18,3.0,3,2,25,10,15.3,1,0,0.5,2.0,3.0,7.0,3.0,17.3,0.0,0.0
2025-01-22,21:00,Champions Lg,2024-2025,Bayern Munich,nl Feyenoord,Away,League phase,2.4,0,3,30,6,15.7,0,0,1.7,3.0,0.0,7.0,2.0,20.7,0.0,1.0
2025-01-25,15:30,Bundesliga,2024-2025,Bayern Munich,Freiburg,Away,Matchweek 19,1.0,2,1,7,3,16.8,0,0,0.3,1.0,2.0,7.0,2.0,14.8,0.0,0.0
2025-01-29,21:00,Champions Lg,2024-2025,Bayern Munich,sk Slovan Bratislava,Home,League phase,3.7,3,1,35,9,15.6,0,0,0.9,1.0,3.0,9.0,4.0,18.2,0.0,0.0
2025-02-01,15:30,Bundesliga,2024-2025,Bayern Munich,Holstein Kiel,Home,Matchweek 20,3.4,4,3,29,11,16.9,1,0,1.8,3.0,4.0,10.0,5.0,15.3,0.0,0.0
2025-02-07,20:30,Bundesliga,2024-2025,Bayern Munich,Werder Bremen,Home,Matchweek 21,4.1,3,0,19,10,17.0,0,2,0.1,0.0,3.0,2.0,0.0,14.8,0.0,0.0
2025-02-12,20:00 (21:00),Champions Lg,2024-2025,Bayern Munich,sct Celtic,Away,Knockout phase play-offs,0.7,2,1,10,5,15.5,0,0,1.3,1.0,2.0,9.0,2.0,12.6,0.0,0.0
2025-02-15,18:30,Bundesliga,2024-2025,Bayern Munich,Leverkusen,Away,Matchweek 22,0.0,0,0,2,0,14.7,0,0,2.0,0.0,0.0,15.0,2.0,15.8,0.0,0.0
2025-02-18,21:00,Champions Lg,2024-2025,Bayern Munich,sct Celtic,Home,Knockout phase play-offs,2.3,1,1,23,9,18.4,1,0,1.3,1.0,1.0,5.0,2.0,14.7,0.0,0.0
,Time,Comp,2024-2025,Bayern Munich,Opponent,Venue,Round,xG,GF,GA,Sh,SoT,Dist,FK,PK,,,,,,,,
2025-02-23,17:30,Bundesliga,2024-2025,Bayern Munich,Eint Frankfurt,Home,Matchweek 23,3.8,4,0,19,10,13.1,0,0,0.5,0.0,4.0,7.0,2.0,16.3,0.0,0.0
2025-02-28,20:30,Bundesliga,2024-2025,Bayern Munich,Stuttgart,Away,Matchweek 24,2.2,3,1,17,8,19.3,2,0,0.9,1.0,3.0,12.0,3.0,16.0,0.0,0.0
2025-03-05,21:00,Champions Lg,2024-2025,Bayern Munich,de Leverkusen,Home,Round of 16,2.7,3,0,16,4,18.7,1,1,0.4,0.0,3.0,3.0,1.0,13.3,0.0,0.0
2025-03-08,15:30,Bundesliga,2024-2025,Bayern Munich,Bochum,Home,Matchweek 25,2.4,2,3,13,5,16.2,0,0,1.1,3.0,2.0,8.0,5.0,12.4,0.0,0.0
2025-03-11,21:00,Champions Lg,2024-2025,Bayern Munich,de Leverkusen,Away,Round of 16,2.3,2,0,12,5,14.4,0,0,1.4,0.0,2.0,17.0,3.0,15.7,1.0,0.0
2025-03-15,15:30,Bundesliga,2024-2025,Bayern Munich,Union Berlin,Away,Matchweek 26,1.6,1,1,18,4,21.1,1,0,0.7,1.0,1.0,7.0,3.0,17.6,0.0,0.0
2025-03-29,15:30,Bundesliga,2024-2025,Bayern Munich,St. Pauli,Home,Matchweek 27,3.5,3,2,19,8,13.3,0,0,1.0,2.0,3.0,10.0,4.0,19.2,1.0,0.0
2025-04-04,20:30,Bundesliga,2024-2025,Bayern Munich,Augsburg,Away,Matchweek 28,2.4,3,1,19,7,16.8,2,0,0.4,1.0,3.0,6.0,3.0,15.5,0.0,0.0
2025-04-08,21:00,Champions Lg,2024-2025,Bayern Munich,it Inter,Home,Quarter-finals,2.3,1,2,20,7,14.9,0,0,0.8,2.0,1.0,10.0,4.0,18.1,0.0,0.0
2025-04-12,18:30,Bundesliga,2024-2025,Bayern Munich,Dortmund,Home,Matchweek 29,2.3,2,2,28,11,17.8,0,0,1.6,2.0,2.0,11.0,3.0,14.8,0.0,0.0
2025-04-16,21:00,Champions Lg,2024-2025,Bayern Munich,it Inter,Away,Quarter-finals,1.5,2,2,20,6,15.3,0,0,1.4,2.0,2.0,15.0,5.0,18.3,1.0,0.0
2025-04-19,15:30,Bundesliga,2024-2025,Bayern Munich,Heidenheim,Away,Matchweek 30,3.2,4,0,18,11,15.2,1,0,0.6,0.0,4.0,4.0,1.0,13.4,0.0,0.0
2025-04-26,15:30,Bundesliga,2024-2025,Bayern Munich,Mainz 05,Home,Matchweek 31,1.1,3,0,14,6,16.4,0,0,0.7,0.0,3.0,8.0,3.0,18.8,0.0,0.0
2025-05-03,15:30,Bundesliga,2024-2025,Bayern Munich,RB Leipzig,Away,Matchweek 32,1.6,3,3,20,6,16.6,0,0,1.2,3.0,3.0,8.0,6.0,19.3,1.0,0.0
2025-05-10,18:30,Bundesliga,2024-2025,Bayern Munich,Gladbach,Home,Matchweek 33,2.5,2,0,24,9,17.7,0,0,1.6,0.0,2.0,16.0,6.0,15.6,0.0,0.0
2025-05-17,15:30,Bundesliga,2024-2025,Bayern Munich,Hoffenheim,Away,Matchweek 34,1.4,4,0,14,5,19.1,1,0,0.4,0.0,4.0,6.0,2.0,17.9,0.0,0.0
2024-08-17,20:30,DFL-Supercup,2024-2025,Bayer Leverkusen,Stuttgart,Home,DFL-Supercup,,2 (4),2 (3),12,4,,,0,,2 (3),2 (4),12.0,4.0,,,0.0
2024-08-23,20:30,Bundesliga,2024-2025,Bayer Leverkusen,Gladbach,Away,Matchweek 1,2.7,3,2,24,9,18.3,1,0,1.6,2,3,14.0,7.0,15.3,0.0,0.0
2024-08-28,18:00,DFB-Pokal,2024-2025,Bayer Leverkusen,Carl Zeiss Jena,Away,Round of 64,,1,0,16,3,,,0,,0,1,6.0,1.0,,,0.0
2024-08-31,18:30,Bundesliga,2024-2025,Bayer Leverkusen,RB Leipzig,Home,Matchweek 2,2.2,2,3,26,10,15.6,0,0,1.1,3,2,8.0,4.0,18.2,0.0,0.0
2024-09-14,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Hoffenheim,Away,Matchweek 3,3.5,4,1,19,6,15.8,1,1,0.9,1,4,15.0,5.0,18.4,1.0,0.0
2024-09-19,18:45,Champions Lg,2024-2025,Bayer Leverkusen,nl Feyenoord,Away,League phase,1.7,4,0,11,4,23.5,0,0,0.8,0,4,12.0,3.0,22.4,1.0,0.0
2024-09-22,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Wolfsburg,Home,Matchweek 4,1.9,4,3,20,7,16.3,0,0,0.7,3,4,9.0,4.0,22.1,0.0,0.0
2024-09-28,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Bayern Munich,Away,Matchweek 5,0.1,1,1,3,2,40.5,0,0,1.4,1,1,18.0,3.0,19.3,1.0,0.0
2024-10-01,21:00,Champions Lg,2024-2025,Bayer Leverkusen,it Milan,Home,League phase,1.8,1,0,16,9,17.2,0,0,1.0,0,1,16.0,5.0,22.6,0.0,0.0
2024-10-05,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Holstein Kiel,Home,Matchweek 6,2.1,2,2,23,7,18.3,0,0,1.6,2,2,7.0,3.0,13.6,0.0,1.0
2024-10-19,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Eint Frankfurt,Home,Matchweek 7,3.8,2,1,26,8,17.4,0,0,1.9,1,2,8.0,0.0,18.8,0.0,1.0
