date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-08-25,21:00,2023-2024,Ligue 1,3,Nantes,Monaco,3.0,3.0,1.0,3.0,3.0,3.3,0,1.1,1.7,1.1,1.7,0.5,3.5,0.5,3.5,2.0,1.0,2.0,1.0,1.65,1.15,1.65,1.15,,,,,0.88,1.62,2.0,1.24,2,2,0.88,1.62,2.0,1.24,-1.12
2023-08-26,21:00,2023-2024,Ligue 1,3,Paris Saint Germain,Lens,3.0,1.0,1.5,1.0,3.0,0.5,1,1.65,0.85,1.65,0.85,0.5,1.5,0.5,1.5,0.5,2.0,0.5,2.0,0.65,1.95,0.65,1.95,,,,,2.38,0.97,1.32,1.09,2,2,2.38,0.97,1.32,1.09,1.06
2023-08-26,19:00,2023-2024,Ligue 1,3,Marseille,Brest,2.0,0.0,2.9,0.0,2.0,1.5,1,1.45,1.8,1.45,1.8,2.0,2.5,2.0,2.5,1.5,1.5,1.5,1.5,0.65,0.95,0.65,0.95,,,,,1.53,1.21,1.56,1.0,2,2,1.53,1.21,1.56,1.0,-0.03
2023-08-27,17:05,2023-2024,Ligue 1,3,Lorient,Lille,4.0,1.0,1.6,1.0,4.0,1.1,1,0.45,1.75,0.45,1.75,0.5,1.5,0.5,1.5,0.5,0.5,0.5,0.5,1.45,1.15,1.45,1.15,,,,,1.26,1.94,1.53,1.0,2,2,1.26,1.94,1.53,1.0,-0.27
2023-08-27,20:45,2023-2024,Ligue 1,3,Nice,Lyon,0.0,0.0,1.9,0.0,0.0,0.2,0,1.45,1.05,1.45,1.05,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.05,2.1,1.05,2.1,,,,,1.18,0.85,1.44,1.62,2,2,1.18,0.85,1.44,1.62,-0.26
2023-08-27,15:00,2023-2024,Ligue 1,3,Strasbourg,Toulouse,2.0,0.0,3.4,0.0,2.0,0.3,1,0.9,1.15,0.9,1.15,1.0,1.5,1.0,1.5,2.0,1.0,2.0,1.0,1.3,1.6,1.3,1.6,,,,,1.12,1.47,1.24,1.35,2,2,1.12,1.47,1.24,1.35,-0.12
2023-08-27,15:00,2023-2024,Ligue 1,3,Montpellier,Reims,1.0,3.0,0.9,3.0,1.0,1.4,-1,2.25,1.6,2.25,1.6,3.0,1.5,3.0,1.5,1.5,1.0,1.5,1.0,0.7,0.7,0.7,0.7,,,,,1.26,1.41,1.24,1.38,2,2,1.26,1.41,1.24,1.38,0.02
2023-08-27,15:00,2023-2024,Ligue 1,3,Clermont Foot,Metz,0.0,1.0,0.7,1.0,0.0,1.1,-1,1.1,0.45,1.1,0.45,1.0,1.5,1.0,1.5,3.0,3.5,3.0,3.5,2.45,2.95,2.45,2.95,,,,,0.76,1.76,1.03,1.71,2,2,0.76,1.76,1.03,1.71,-0.27
2023-08-27,13:00,2023-2024,Ligue 1,3,Rennes,Le Havre,2.0,2.0,3.2,2.0,2.0,0.4,0,2.7,1.1,2.7,1.1,3.0,1.5,3.0,1.5,1.0,2.0,1.0,2.0,0.7,1.35,0.7,1.35,,,,,1.56,1.35,1.0,1.32,2,2,1.56,1.35,1.0,1.32,0.56
2023-09-01,21:00,2023-2024,Ligue 1,4,Nantes,Marseille,1.0,1.0,0.9,1.0,1.0,2.6,0,1.07,1.93,1.07,1.93,1.33,2.0,1.33,2.0,2.33,1.0,2.33,1.0,2.2,0.93,2.2,0.93,,,,,0.88,1.62,1.53,1.21,3,3,0.88,1.62,1.53,1.21,-0.65
2023-09-02,17:00,2023-2024,Ligue 1,4,Brest,Rennes,0.0,0.0,1.4,0.0,0.0,0.3,0,1.7,2.87,1.7,2.87,1.67,2.67,1.67,2.67,1.67,1.33,1.67,1.33,1.6,0.6,1.6,0.6,,,,,1.56,1.0,1.56,1.35,3,3,1.56,1.0,1.56,1.35,0.0
2023-09-02,21:00,2023-2024,Ligue 1,4,Monaco,Lens,3.0,0.0,0.9,0.0,3.0,0.6,1,2.23,0.73,2.23,0.73,3.33,1.33,3.33,1.33,1.67,2.33,1.67,2.33,1.1,1.8,1.1,1.8,,,,,2.0,1.24,1.32,1.09,3,3,2.0,1.24,1.32,1.09,0.68
2023-09-03,15:00,2023-2024,Ligue 1,4,Lille,Montpellier,1.0,0.0,1.2,0.0,1.0,0.3,1,1.53,1.8,1.53,1.8,1.33,2.33,1.33,2.33,1.67,2.0,1.67,2.0,1.3,0.93,1.3,0.93,,,,,1.53,1.0,1.26,1.41,3,3,1.53,1.0,1.26,1.41,0.27
2023-09-03,20:45,2023-2024,Ligue 1,4,Lyon,Paris Saint Germain,1.0,4.0,2.1,4.0,1.0,4.5,-1,0.77,1.6,0.77,1.6,0.67,1.33,0.67,1.33,2.0,0.67,2.0,0.67,2.03,0.6,2.03,0.6,,,,,1.44,1.62,2.38,0.97,3,3,1.44,1.62,2.38,0.97,-0.94
2023-09-03,13:00,2023-2024,Ligue 1,4,Toulouse,Clermont Foot,2.0,2.0,0.6,2.0,2.0,1.8,0,0.87,0.97,0.87,0.97,1.0,0.67,1.0,0.67,1.33,2.33,1.33,2.33,2.2,2.0,2.2,2.0,,,,,1.24,1.35,0.76,1.76,3,3,1.24,1.35,0.76,1.76,0.48
2023-09-03,15:00,2023-2024,Ligue 1,4,Le Havre,Lorient,3.0,0.0,2.0,0.0,3.0,0.7,1,0.87,0.83,0.87,0.83,1.67,1.67,1.67,1.67,2.0,0.67,2.0,0.67,1.97,1.33,1.97,1.33,,,,,1.0,1.32,1.26,1.94,3,3,1.0,1.32,1.26,1.94,-0.26
