date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-01,20:30,2023-2024,Bundesliga,3,Dortmund,Heidenheim,2.0,2.0,3.4,2.0,2.0,2.1,-1,1.55,1.8,1.55,1.8,1.0,1.0,1.0,1.0,0.5,2.5,0.5,2.5,1.1,2.6,1.1,2.6,,,,,2.0,1.26,1.47,1.62,2,2,2.0,1.26,1.47,1.62,0.53
2023-09-02,18:30,2023-2024,Bundesliga,3,Monchengladbach,Bayern Munich,1.0,2.0,0.3,2.0,1.0,2.4,-1,1.3,2.8,1.3,2.8,2.0,3.5,2.0,3.5,3.5,0.5,3.5,0.5,2.5,0.65,2.5,0.65,,,,,1.65,1.97,2.76,1.32,2,2,1.65,1.97,2.76,1.32,-1.11
2023-09-02,15:30,2023-2024,Bundesliga,3,Hoffenheim,Wolfsburg,3.0,1.0,2.0,1.0,3.0,1.2,1,2.2,1.95,2.2,1.95,2.0,2.0,2.0,2.0,2.0,0.5,2.0,0.5,2.5,1.05,2.5,1.05,,,,,1.94,1.94,1.21,1.65,2,2,1.94,1.94,1.21,1.65,0.73
2023-09-02,15:30,2023-2024,Bundesliga,3,Stuttgart,Freiburg,5.0,0.0,1.7,0.0,5.0,1.0,1,2.05,2.5,2.05,2.5,3.0,1.5,3.0,1.5,2.5,0.5,2.5,0.5,1.3,1.2,1.3,1.2,,,,,2.29,1.15,1.32,1.71,2,2,2.29,1.15,1.32,1.71,0.97
2023-09-02,15:30,2023-2024,Bundesliga,3,Augsburg,Bochum,2.0,2.0,1.9,2.0,2.0,1.6,0,1.5,0.9,1.5,0.9,2.5,0.5,2.5,0.5,3.5,3.0,3.5,3.0,2.25,2.15,2.25,2.15,,,,,1.47,1.76,1.24,2.18,2,2,1.47,1.76,1.24,2.18,0.23
2023-09-02,15:30,2023-2024,Bundesliga,3,Werder Bremen,Mainz 05,4.0,0.0,2.7,0.0,4.0,0.5,1,0.8,1.75,0.8,1.75,0.0,1.0,0.0,1.0,2.5,2.5,2.5,2.5,2.6,1.5,2.6,1.5,,,,,1.41,1.59,1.15,1.5,2,2,1.41,1.59,1.15,1.5,0.26
2023-09-02,15:30,2023-2024,Bundesliga,3,Bayer Leverkusen,Darmstadt 98,5.0,1.0,2.8,1.0,5.0,0.4,1,2.05,1.4,2.05,1.4,3.0,0.5,3.0,0.5,1.0,2.5,1.0,2.5,1.25,1.6,1.25,1.6,,,,,2.62,0.71,0.88,2.53,2,2,2.62,0.71,0.88,2.53,1.74
2023-09-03,17:30,2023-2024,Bundesliga,3,Union Berlin,RB Leipzig,0.0,3.0,0.3,3.0,0.0,1.2,-1,1.8,1.7,1.8,1.7,4.0,3.5,4.0,3.5,1.0,2.0,1.0,2.0,2.3,1.25,2.3,1.25,,,,,0.97,1.71,2.26,1.15,2,2,0.97,1.71,2.26,1.15,-1.29
2023-09-03,15:30,2023-2024,Bundesliga,3,Eintracht Frankfurt,Köln,1.0,1.0,1.1,1.0,1.0,0.9,-1,1.3,1.05,1.3,1.05,1.0,0.5,1.0,0.5,0.5,1.5,0.5,1.5,0.85,1.75,0.85,1.75,,,,,1.5,1.47,0.82,1.76,2,2,1.5,1.47,0.82,1.76,0.68
2023-09-15,20:30,2023-2024,Bundesliga,4,Bayern Munich,Bayer Leverkusen,2.0,2.0,2.1,2.0,2.0,2.1,-1,2.67,2.3,2.67,2.3,3.0,3.67,3.0,3.67,0.67,1.0,0.67,1.0,0.53,0.97,0.53,0.97,,,,,2.76,1.32,2.62,0.71,3,3,2.76,1.32,2.62,0.71,0.14
